Branchcode,Branchname,Bic
72152070,Spk Neuburg-Rain,BYLADEM1NEB
79353090,Spk Bad Neustadt a d Saale,BYLADEM1NES
72250000,Sparkasse Nördlingen,BYLADEM1NLG
76052080,Spk Neumarkt i d OPf-Parsbg,BYLADEM1NMA
73050000,Spk Neu-Ulm Illertissen,BYLADEM1NUL
72151650,Spk Pfaffenhofen,BYLADEM1PAF
74050000,Spk Passau,BYLADEM1PAS
75050000,Spk Regensburg,BYLADEM1RBG
74151450,Sparkasse Regen-Viechtach,BYLADEM1REG
71150000,Spk Rosenheim-Bad Aibling,BYLADEM1ROS
76551860,St u Kr Spk Rothenburg,BYLADEM1ROT
75051040,Spk im Landkreis Schwandorf,BYLADEM1SAD
77350110,Sparkasse Bayreuth,BYLADEM1SBT
76250000,Spk Fürth,BYLADEM1SFU
77050000,Spk Bamberg,BYLADEM1SKB
73451450,Kr Spk Schongau,BYLADEM1SOG
74250000,Spk Niederbayern-Mitte,BYLADEM1SRG
76450000,Spk Mittelfranken-Süd,BYLADEM1SRS
72151880,St Spk Schrobenhausen,BYLADEM1SSH
79350000,Städt.Spk Schweinfurt -alt-,BYLADEM1SSW
79050000,Spk Mainfranken Würzburg,BYLADEM1SWU
78151080,Spk Tirschenreuth -alt-,BYLADEM1TIR
71052050,Kr Spk Traunstein-Trostberg,BYLADEM1TST
75350000,Spk Oberpfalz Nord,BYLADEM1WEN
70351030,Ver Spk Weilheim,BYLADEM1WHM
70054306,Spk Bad Tölz-Wolfratshausen,BYLADEM1WOR
71152680,Kr u St Spk Wasserburg,BYLADEM1WSB
70050000,BayernLB München,BYLADEMMXXX
52411010,Cash Express Gf2 Frankfurt,CAGBDEF1CMI
52411000,Cash Express Frankfurt,CAGBDEF1XXX
74290100,CB Bank Straubing,CBSRDE71XXX
30020300,Santander Consumer Bank,CCBADE31RBS
31010833,Santander Consumer Bank MG,CCBADE31XXX
50110801,"J.P. Morgan, IR, Ffm",CHASDEFXVR1
50110800,J.P. Morgan Frankfurt,CHASDEFXXXX
20030300,DONNER & REUSCHEL,CHDBDEHHXXX
70030300,Bankhaus Reuschel & Co,CHDBDEHHXXX
87050000,Sparkasse Chemnitz,CHEKDE81GLA
87050000,Sparkasse Chemnitz,CHEKDE81HOT
87050000,Sparkasse Chemnitz,CHEKDE81LIM
87050000,Sparkasse Chemnitz,CHEKDE81LTS
87050000,Sparkasse Chemnitz,CHEKDE81MRN
87050000,Sparkasse Chemnitz,CHEKDE81OLW
87050000,Sparkasse Chemnitz,CHEKDE81XXX
50210900,Citigroup GM Frankfurt,CITIDEFFXXX
25010900,Calenbg Kreditver Hannover,CKVHDE21XXX
70012000,UCFin München,CLABDEMMXXX
30020900,TARGOBANK Düsseldorf,CMCIDEDDXXX
52430000,Credit Mutuel - BECM,CMCIDEF1XXX
52430100,BFCM Ndl Deutschland,CMCIDEFFXXX
12040000,Commerzbank -Ost- Berlin,COBADEBB120
10040000,Commerzbank -West- Berlin,COBADEBBXXX
30040000,Commerzbank Düsseldorf,COBADEDDXXX
33040310,Commerzbank Zw 117,COBADEDHXXX
50040033,Commerzbank Gf BRS Ffm,COBADEF1BRS
50040000,Commerzbank Maintal,COBADEFF003
50040000,Commerzbank Dreieich,COBADEFF004
50040000,Commerzbank Hofheim Taunus,COBADEFF005
50040000,Commerzbank Idstein Taunus,COBADEFF006
50040000,Commerzbank Kelkheim Taunus,COBADEFF007
50040000,Commerzbank Königstein Ts,COBADEFF008
50040000,Commerzbank Oberursel Ts,COBADEFF009
50840005,Commerzbank Groß-Gerau,COBADEFF011
50840005,Commerzbank Langen Hess,COBADEFF012
50840005,Commerzbank Pfungstadt,COBADEFF013
50540028,Commerzbank Mühlheim Main,COBADEFF014
50540028,Commerzbank Obertshausen,COBADEFF015
10040060,Commerzbank Gf 160 Berlin,COBADEFF060
10040061,Commerzbank Gf 161 Berlin,COBADEFF061
20040060,Commerzbank Gf 260 Hamburg,COBADEFF062
20040061,Commerzbank Gf 261 Hamburg,COBADEFF063
30040060,Commerzbank Gf 660 Düsseldf,COBADEFF064
30040061,Commerzbank Gf 661 Düsseldf,COBADEFF065
50040060,Commerzbank Gf 460 Ffm,COBADEFF066
50040061,Commerzbank Gf 461 Ffm,COBADEFF067
70040060,Commerzbank Gf 860 München,COBADEFF068
70040061,Commerzbank Gf 861 München,COBADEFF069
50040051,Commerzbank FFM GM-F A 51,COBADEFF070
50040052,Commerzbank Service - BZ,COBADEFF071
29040060,Commerzbank CC Bremen,COBADEFF072
29040061,Commerzbank CC Bremen,COBADEFF073
20040062,Commerzbank CC Hamburg,COBADEFF074
20040063,Commerzbank CC Hamburg,COBADEFF075
25040060,Commerzbank CC Hannover,COBADEFF076
25040061,Commerzbank CC Hannover,COBADEFF077
48040060,Commerzbank CC Bielefeld,COBADEFF078
48040061,Commerzbank CC Bielefeld,COBADEFF079
44040060,Commerzbank CC Dortmund,COBADEFF080
44040061,Commerzbank CC Dortmund,COBADEFF081
36040060,Commerzbank CC Essen,COBADEFF082
36040061,Commerzbank CC Essen,COBADEFF083
30040062,Commerzbank CC Düsseldorf,COBADEFF084
30040063,Commerzbank CC Düsseldorf,COBADEFF085
37040060,Commerzbank CC Köln,COBADEFF086
37040061,Commerzbank CC Köln,COBADEFF087
31040060,Commerzbank CC Mgladbach,COBADEFF088
31040061,Commerzbank CC Mgladbach,COBADEFF089
50040062,Commerzbank CC Ffm,COBADEFF090
50040063,Commerzbank CC Ffm,COBADEFF091
55040060,Commerzbank CC Mainz,COBADEFF092
55040061,Commerzbank CC Mainz,COBADEFF093
67040060,Commerzbank CC Mannheim,COBADEFF094
67040061,Commerzbank CC Mannheim,COBADEFF095
60040060,Commerzbank CC Stuttgart,COBADEFF096
60040061,Commerzbank CC Stuttgart,COBADEFF097
70040062,Commerzbank CC München,COBADEFF098
70040063,Commerzbank CC München,COBADEFF099
76040060,Commerzbank CC Nürnberg,COBADEFF100
76040062,Commerzbank CC Nürnberg,COBADEFF101
10040062,Commerzbank CC Berlin,COBADEFF102
10040063,Commerzbank CC Berlin,COBADEFF103
85040060,Commerzbank CC Dresden,COBADEFF104
85040061,Commerzbank CC Dresden,COBADEFF105
86040060,Commerzbank CC Leipzig,COBADEFF106
86040061,Commerzbank CC Leipzig,COBADEFF107
13040000,Commerzbank Rostock,COBADEFF130
13040000,Commerzbank Wismar,COBADEFF131
25040066,Commerzbank Burgdorf Hannov,COBADEFF132
25040066,Commerzbank Garbsen,COBADEFF133
25040066,Commerzbank Hemmingen Han,COBADEFF134
25040066,Commerzbank Laatzen,COBADEFF135
25040066,Commerzbank Langenhagen,COBADEFF136
25040066,Commerzbank Lehrte,COBADEFF137
25040066,Commerzbank Sarstedt,COBADEFF138
25040066,Commerzbank Wunstorf,COBADEFF139
14040000,Commerzbank Schwerin,COBADEFF140
15040068,Commerzbank Greifswald,COBADEFF150
15040068,Commerzbank Neubrandenburg,COBADEFF151
15040068,Commerzbank Stralsund,COBADEFF152
15040068,Commerzbank Bergen Rügen,COBADEFF153
16040000,Commerzbank Teltow,COBADEFF158
16040000,Commerzbank Rathenow,COBADEFF159
16040000,Commerzbank Potsdam,COBADEFF160
16040000,Commerzbank Brandenburg,COBADEFF161
16040000,Commerzbank Ludwigsfelde,COBADEFF162
16040000,Commerzbank Neuruppin,COBADEFF163
16040000,Commerzbank Neustrelitz,COBADEFF164
16040000,Commerzbank Oranienburg,COBADEFF165
16040000,Commerzbank Wittenberge,COBADEFF166
16040000,Commerzbank Luckenwalde,COBADEFF167
16040000,Commerzbank Erkner,COBADEFF168
16040000,Commerzbank Hennigsdorf,COBADEFF169
17040000,Commerzbank Frankfurt Oder,COBADEFF170
17040000,Commerzbank Eberswalde,COBADEFF171
17040000,Commerzbank Eisenhüttenst,COBADEFF172
17040000,Commerzbank Schwedt,COBADEFF173
17040000,Commerzbank Fürstenwalde,COBADEFF174
18040000,Commerzbank Cottbus,COBADEFF180
18040000,Commerzbank Guben,COBADEFF181
18040000,Commerzbank Spremberg,COBADEFF182
18040000,Commerzbank Senftenberg,COBADEFF183
20040000,Commerzbank Winsen Luhe,COBADEFF198
20040000,Commerzbank Quickborn Holst,COBADEFF199
20040000,Commerzbank Ahrensburg,COBADEFF201
20040000,Commerzbank Norderstedt,COBADEFF202
20040000,Commerzbank Buxtehude,COBADEFF203
20040000,Commerzbank Wedel Holst,COBADEFF204
20040000,Commerzbank Geesthacht,COBADEFF205
22141428,Commerzbank Pinneberg,COBADEFF206
20040000,Commerzbank Glinde Stormarn,COBADEFF207
